Common Carrier,,ASTM High,,ASTM Med,,ASTM Low,,ISTA Air Ride,,ISTA Spring Truck,,ESI Airplane,,ESI Truck,,3.5in Drive Profile,,2.5in Drive Profile,
1.00,0.00010,1.00,0.00072,1.00,0.00072,1.00,0.00040,0.60,0.00090,1.00,0.00072,2.00,0.00020,1.00,0.00072,5.00,0.00100,7,0.004
4.00,0.01000,3.00,0.03000,3.00,0.01800,3.00,0.01000,2.00,0.00900,3.00,0.01800,12.00,0.01000,3.00,0.01800,20.00,0.01000,20,0.013
100.00,0.01000,4.00,0.03000,4.00,0.01800,4.00,0.01000,3.00,0.00720,in,0.01800,100.00,0.01000,4.00,0.01800,200.00,0.01000,33,0.003
200.00,0.00100,6.00,0.00120,6.00,0.00072,6.00,0.00040,5.00,0.00036,6.00,0.00072,200.00,0.00013,6.00,0.00072,,,156,0.1
,,12.00,0.00120,12.00,0.00072,12.00,0.00040,10.00,0.00036,12.00,0.00072,,,12.00,0.00072,,,200,0.026
,,16.00,0.00600,16.00,0.00360,16.00,0.00200,15.00,0.00180,16.00,0.00360,,,16.00,0.00360,,,,
,,25.00,0.00600,25.00,0.00360,25.00,0.00200,30.00,0.00054,25.00,0.00360,,,25.00,0.00360,,,,
,,30.00,0.00120,30.00,0.00072,30.00,0.00040,50.00,0.00180,30.00,0.00072,,,30.00,0.00072,,,,
,,40.00,0.00600,40.00,0.00360,40.00,0.00200,100.00,0.00018,40.00,0.00360,,,40.00,0.00360,,,,
,,80.00,0.00600,80.00,0.00360,80.00,0.00200,,,80.00,0.00360,,,80.00,0.00360,,,,
,,100.00,0.00060,100.00,0.00036,100.00,0.00020,,,100.00,0.00036,,,100.00,0.00036,,,,
,,200.00,0.00003,200.00,0.00002,200.00,0.00001,,,200.00,0.00002,,,200.00,0.00036,,,,
